UserID,Country,Language,Gender,RegDate,AgeRDATE,Fstcad,Fstpd,Pcsumstk,Pcsumwin,Pcsumbet,Pcfstdate,Pclstdate,Pcsumday,Pcintday,Pcnet,Pcab,Pcdayspc,TOPsmstk,TOPpcnet,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Segment_Name
1324944,380,3,1,2/1/2005,21,12/27/2005,11/9/2005,65469.25,63322.5,11876,12/27/2005,2006-12-01,37,340,2146.75,5.51273577,10.88235294,0,0,89,37,65469.25,88.16489361702128,7.061068702290077,1.90369517689449,4,New Casual Players
1324991,792,7,0,2/1/2005,30,12/5/2005,2/2/2005,2382.5797,2170.9854,3508,12/5/2005,2007-01-12,25,404,211.5943,0.679184635,6.188118812,0,0,47,25,2382.5797,93.75,4.770992366412214,0.06927993651151833,4,New Casual Players
1325027,40,2,0,2/1/2005,35,6/13/2005,5/7/2005,689.5,643.05,264,6/13/2005,2006-04-05,5,297,46.45,2.611742424,1.683501684,0,0,329,5,689.5,56.25,0.9541984732824428,0.02004907379370851,1,Recent Low Spenders
1325080,250,6,0,2/1/2005,33,2/14/2005,2/4/2005,6783.0,6624.0,808,2/14/2005,2006-04-06,41,417,159.0,8.39480198,9.832134293,0,0,328,41,6783.0,56.38297872340425,7.8244274809160315,0.19723403559495986,1,Recent Low Spenders
1325103,300,8,1,2/1/2005,25,2/1/2005,2/1/2005,197.0,155.0,191,2/1/2005,2005-02-13,5,13,42.0,1.031413613,38.46153846,0,0,745,5,197.0,0.9308510638297872,0.9541984732824428,0.005728306798202432,0,Low Value Dormant
1325155,40,2,1,2/1/2005,22,7/6/2006,2/5/2005,103.0,127.0,17,7/6/2006,2007-02-11,4,221,-24.0,6.058823529,1.809954751,0,0,17,4,103.0,97.73936170212765,0.7633587786259541,0.002995003046775891,4,New Casual Players
1325158,724,4,1,2/1/2005,26,8/22/2005,2/1/2005,99655.5,97352.0,4904,8/22/2005,2007-02-26,36,554,2303.5,20.32126835,6.498194946,0,0,2,36,99655.5,99.7340425531915,6.870229007633588,2.8977526808541243,4,New Casual Players
1325159,792,7,1,2/1/2005,21,2/11/2005,2/7/2005,123.0,107.0,123,2/11/2005,2005-05-09,6,88,16.0,1.0,6.818181818,0,0,660,6,123.0,12.23404255319149,1.1450381679389312,0.0035765570364411125,0,Low Value Dormant
1325161,40,2,0,2/1/2005,35,2/14/2005,2/1/2005,6725.5,6697.5,178,2/14/2005,2006-08-31,71,564,28.0,37.78370787,12.58865248,0,0,181,71,6725.5,75.93085106382979,13.549618320610687,0.19556206787467237,1,Recent Low Spenders
1325165,724,4,1,2/1/2005,23,2/2/2005,2/1/2005,28441.64,24924.39,9015,2/2/2005,2007-02-07,46,736,3517.25,3.154924016,6.25,0,0,21,46,28441.64,97.20744680851064,8.778625954198473,0.8270174607310976,4,New Casual Players
1325187,616,9,1,2/1/2005,22,6/13/2005,2/4/2005,227.25,216.7138,139,6/13/2005,2007-01-15,9,582,10.5362,1.634892086,1.546391753,0,0,44,9,227.25,94.14893617021278,1.717557251908397,0.00660790720757108,4,New Casual Players
1325188,250,6,1,2/1/2005,24,12/23/2005,2/1/2005,1612.75,1537.75,60,12/23/2005,2006-09-30,11,282,75.0,26.87916667,3.90070922,0,0,151,11,1612.75,79.92021276595744,2.099236641221374,0.046895059841629304,1,Recent Low Spenders
1325189,724,4,1,2/1/2005,69,2/19/2005,2/1/2005,12448.7485,11691.95,129,2/4/2005,2005-06-26,20,143,756.7985,96.50192636,13.98601399,0,0,612,20,12448.7485,18.617021276595743,3.816793893129771,0.3619809678256971,0,Low Value Dormant
1325215,208,11,0,2/1/2005,19,9/24/2005,9/24/2005,1419.8,1366.32,1216,9/24/2005,2006-07-07,19,287,53.48,1.167598684,6.620209059,0,0,236,19,1419.8,68.61702127659575,3.6259541984732824,0.041284517726334076,1,Recent Low Spenders
1325237,40,2,1,2/1/2005,63,7/12/2005,7/11/2005,1755.5,1662.0,650,7/12/2005,2006-12-31,16,538,93.5,2.700769231,2.973977695,0,0,59,16,1755.5,92.15425531914893,3.0534351145038165,0.05104590144286482,4,New Casual Players
1325301,792,7,1,2/1/2005,18,2/25/2005,2/2/2005,25.25,17.75,31,2/25/2005,2005-03-13,4,17,7.5,0.814516129,23.52941176,0,0,717,4,25.25,4.654255319148936,0.7633587786259541,0.0007342119119523421,0,Low Value Dormant
1325313,276,2,1,2/1/2005,42,2/9/2005,2/9/2005,31489.0,29891.5,2360,2/9/2005,2006-01-25,13,351,1597.5,13.34279661,3.703703704,0,0,399,13,31489.0,46.941489361702125,2.480916030534351,0.9156276790284081,2,Inactive Casual
1325318,208,11,1,2/1/2005,30,2/1/2005,2/1/2005,21933.75,21177.25,1360,2/1/2005,2006-12-12,28,680,756.5,16.12775735,4.117647059,0,0,78,28,21933.75,89.62765957446808,5.343511450381679,0.6377829910409776,4,New Casual Players
1325337,40,2,0,2/1/2005,40,2/1/2005,2/1/2005,7439.0,7180.0,857,2/1/2005,2007-02-24,75,754,259.0,8.680280047,9.946949602,0,0,4,75,7439.0,99.46808510638297,14.31297709923664,0.21630900645597914,4,New Casual Players
1325353,208,11,1,2/1/2005,21,2/2/2005,2/1/2005,478.76,445.5,25,2/2/2005,2005-08-01,6,181,33.26,19.1504,3.314917127,0,0,576,6,478.76,23.404255319148938,1.1450381679389312,0.013921239404606073,0,Low Value Dormant
1325367,792,7,1,2/1/2005,39,2/1/2005,2/1/2005,13022.2,12257.28,74424,2/1/2005,2006-10-22,50,629,764.92,0.174973127,7.949125596,0,0,129,50,13022.2,82.84574468085107,9.541984732824428,0.3786556182109224,4,New Casual Players
1325381,208,11,0,2/1/2005,28,2/1/2005,2/1/2005,57848.4164,55589.03,663,2/1/2005,2006-03-24,74,417,2259.3864,87.25251342,17.74580336,0,0,341,74,57848.4164,54.65425531914894,14.122137404580155,1.6820988676617517,1,Recent Low Spenders
1325386,756,2,1,2/1/2005,29,2/2/2005,2/1/2005,6491.5,6005.0,536,2/2/2005,2005-04-10,5,68,486.5,12.11100746,7.352941176,0,0,689,5,6491.5,8.377659574468085,0.9541984732824428,0.18875788619558928,0,Low Value Dormant
1325410,756,2,1,2/1/2005,20,9/19/2006,3/25/2005,3095.5,2639.5,505,9/19/2006,2006-10-31,10,43,456.0,6.12970297,23.25581395,0,0,120,10,3095.5,84.04255319148936,1.9083969465648856,0.09001001875043466,4,New Casual Players
1325433,300,8,0,2/1/2005,53,2/1/2005,2/1/2005,13731.81,14003.6,1755,2/1/2005,2005-02-10,4,10,-271.79,7.824393162,40.0,0,0,748,4,13731.81,0.5319148936170213,0.7633587786259541,0.3992894445412392,0,Low Value Dormant
